=== t_easy//t_0.smp ===
SAT_UNSAT fast         0.06
SAT_UNSAT pretty_oc    0.07
Binary    pretty       0.08
Binary    fast         0.08
Binary    pretty_oc    0.08
UNSAT_SAT pretty       0.08
UNSAT_SAT fast         0.08
UNSAT_SAT pretty_oc    0.08
SAT_UNSAT pretty       0.08
=== t_easy//t_10.smp ===
SAT_UNSAT pretty       0.57
SAT_UNSAT pretty_oc    0.62
SAT_UNSAT fast         0.75
Binary    pretty_oc    1.09
Binary    fast         1.2000000000000002
Binary    pretty       1.24
UNSAT_SAT pretty       1.38
UNSAT_SAT pretty_oc    1.38
UNSAT_SAT fast         1.47
=== t_easy//t_11.smp ===
UNSAT_SAT pretty       2.97
UNSAT_SAT pretty_oc    3.0500000000000003
Binary    pretty_oc    3.6899999999999995
Binary    pretty       3.88
UNSAT_SAT fast         4.54
Binary    fast         4.89
SAT_UNSAT pretty       6.66
SAT_UNSAT pretty_oc    7.16
SAT_UNSAT fast         7.3
=== t_easy//t_12.smp ===
SAT_UNSAT pretty       0.51
SAT_UNSAT pretty_oc    0.52
SAT_UNSAT fast         0.62
Binary    pretty       1.02
Binary    pretty_oc    1.03
UNSAT_SAT pretty       1.1
Binary    fast         1.1099999999999999
UNSAT_SAT pretty_oc    1.15
UNSAT_SAT fast         1.22
=== t_easy//t_13.smp ===
SAT_UNSAT pretty_oc    0.88
SAT_UNSAT pretty       0.89
Binary    pretty       1.6600000000000001
Binary    pretty_oc    1.6600000000000001
UNSAT_SAT pretty       1.9500000000000002
UNSAT_SAT pretty_oc    1.98
SAT_UNSAT fast         3.32
Binary    fast         4.21
UNSAT_SAT fast         4.48
=== t_easy//t_14.smp ===
SAT_UNSAT pretty       0.51
SAT_UNSAT pretty_oc    0.52
SAT_UNSAT fast         0.64
Binary    pretty       1.01
Binary    pretty_oc    1.03
UNSAT_SAT pretty       1.13
Binary    fast         1.1400000000000001
UNSAT_SAT pretty_oc    1.1400000000000001
UNSAT_SAT fast         1.25
=== t_easy//t_15.smp ===
SAT_UNSAT pretty       0.48
SAT_UNSAT pretty_oc    0.49
SAT_UNSAT fast         0.61
Binary    pretty       0.97
Binary    pretty_oc    1.01
Binary    fast         1.0899999999999999
UNSAT_SAT pretty       1.0899999999999999
UNSAT_SAT pretty_oc    1.1099999999999999
UNSAT_SAT fast         1.22
=== t_easy//t_16.smp ===
SAT_UNSAT pretty       0.5
SAT_UNSAT pretty_oc    0.5
SAT_UNSAT fast         0.59
Binary    pretty_oc    1.01
Binary    pretty       1.02
Binary    fast         1.0899999999999999
UNSAT_SAT pretty       1.12
UNSAT_SAT pretty_oc    1.1400000000000001
UNSAT_SAT fast         1.2
=== t_easy//t_17.smp ===
UNSAT_SAT pretty       5.470000000000001
UNSAT_SAT pretty_oc    5.53
Binary    pretty       6.99
Binary    pretty_oc    7.01
SAT_UNSAT pretty_oc    9.39
SAT_UNSAT pretty       9.660000000000002
UNSAT_SAT fast         53.35
SAT_UNSAT fast         55.230000000000004
Binary    fast         62.14
=== t_easy//t_18.smp ===
SAT_UNSAT pretty       0.89
SAT_UNSAT pretty_oc    0.91
Binary    pretty       1.67
Binary    pretty_oc    1.6800000000000002
UNSAT_SAT pretty       1.9700000000000002
SAT_UNSAT fast         2.06
UNSAT_SAT pretty_oc    2.07
Binary    fast         2.88
UNSAT_SAT fast         3.17
=== t_easy//t_19.smp ===
SAT_UNSAT pretty       0.7
SAT_UNSAT pretty_oc    0.71
SAT_UNSAT fast         1.41
Binary    pretty       1.44
Binary    pretty_oc    1.48
UNSAT_SAT pretty       1.76
UNSAT_SAT pretty_oc    1.8
Binary    fast         2.21
UNSAT_SAT fast         2.55
=== t_easy//t_1.smp ===
SAT_UNSAT pretty       1.06
SAT_UNSAT pretty_oc    1.14
Binary    pretty       1.8800000000000001
Binary    pretty_oc    1.96
UNSAT_SAT pretty       2.21
UNSAT_SAT pretty_oc    2.29
SAT_UNSAT fast         3.12
Binary    fast         4.0
UNSAT_SAT fast         4.33
=== t_easy//t_20.smp ===
SAT_UNSAT pretty       0.47
SAT_UNSAT pretty_oc    0.49
SAT_UNSAT fast         0.56
Binary    pretty       0.98
Binary    pretty_oc    0.99
Binary    fast         1.07
UNSAT_SAT pretty       1.1099999999999999
UNSAT_SAT pretty_oc    1.13
UNSAT_SAT fast         1.1800000000000002
=== t_easy//t_21.smp ===
SAT_UNSAT pretty_oc    2.55
SAT_UNSAT pretty       2.69
Binary    pretty_oc    2.85
Binary    pretty       2.91
SAT_UNSAT fast         3.6799999999999997
UNSAT_SAT pretty_oc    3.75
UNSAT_SAT pretty       3.8
Binary    fast         3.92
UNSAT_SAT fast         4.96
=== t_easy//t_22.smp ===
SAT_UNSAT pretty       0.47
SAT_UNSAT pretty_oc    0.48
SAT_UNSAT fast         0.62
Binary    pretty       0.99
Binary    pretty_oc    1.01
UNSAT_SAT pretty       1.12
UNSAT_SAT pretty_oc    1.13
Binary    fast         1.1400000000000001
UNSAT_SAT fast         1.2599999999999998
=== t_easy//t_23.smp ===
SAT_UNSAT pretty       0.76
SAT_UNSAT pretty_oc    0.77
Binary    pretty       1.54
Binary    pretty_oc    1.54
UNSAT_SAT pretty       1.85
UNSAT_SAT pretty_oc    1.8900000000000001
SAT_UNSAT fast         2.0
Binary    fast         2.81
UNSAT_SAT fast         3.08
=== t_easy//t_24.smp ===
SAT_UNSAT pretty       0.74
SAT_UNSAT pretty_oc    0.79
Binary    pretty       1.48
Binary    pretty_oc    1.55
UNSAT_SAT pretty       1.8199999999999998
UNSAT_SAT pretty_oc    1.8800000000000001
SAT_UNSAT fast         2.1
Binary    fast         3.01
UNSAT_SAT fast         3.27
=== t_easy//t_25.smp ===
SAT_UNSAT pretty       0.54
SAT_UNSAT pretty_oc    0.55
SAT_UNSAT fast         0.63
Binary    pretty_oc    1.08
Binary    pretty       1.09
Binary    fast         1.1600000000000001
UNSAT_SAT pretty       1.18
UNSAT_SAT pretty_oc    1.2
UNSAT_SAT fast         1.2799999999999998
=== t_easy//t_26.smp ===
SAT_UNSAT pretty       1.13
SAT_UNSAT pretty_oc    1.13
SAT_UNSAT fast         1.1400000000000001
Binary    pretty_oc    1.4300000000000002
Binary    pretty       1.4700000000000002
Binary    fast         1.48
UNSAT_SAT pretty       1.75
UNSAT_SAT pretty_oc    1.77
UNSAT_SAT fast         1.79
=== t_easy//t_27.smp ===
SAT_UNSAT pretty       2.42
SAT_UNSAT pretty_oc    2.4299999999999997
UNSAT_SAT pretty       2.55
UNSAT_SAT pretty_oc    2.59
Binary    pretty_oc    2.69
Binary    pretty       2.74
SAT_UNSAT fast         3.56
Binary    fast         3.96
UNSAT_SAT fast         3.9600000000000004
=== t_easy//t_28.smp ===
SAT_UNSAT fast         0.2
SAT_UNSAT pretty_oc    0.2
SAT_UNSAT pretty       0.21
Binary    fast         0.3
Binary    pretty       0.31
UNSAT_SAT fast         0.31
UNSAT_SAT pretty       0.32
Binary    pretty_oc    0.32999999999999996
UNSAT_SAT pretty_oc    0.32999999999999996
=== t_easy//t_29.smp ===
SAT_UNSAT fast         0.73
SAT_UNSAT pretty       0.74
SAT_UNSAT pretty_oc    0.75
Binary    fast         0.91
Binary    pretty       0.94
Binary    pretty_oc    0.97
UNSAT_SAT fast         1.03
UNSAT_SAT pretty       1.0699999999999998
UNSAT_SAT pretty_oc    1.1099999999999999
=== t_easy//t_2.smp ===
SAT_UNSAT pretty_oc    0.56
SAT_UNSAT pretty       0.57
SAT_UNSAT fast         0.73
Binary    pretty       1.1
Binary    pretty_oc    1.1099999999999999
UNSAT_SAT pretty       1.2199999999999998
UNSAT_SAT pretty_oc    1.23
Binary    fast         1.26
UNSAT_SAT fast         1.35
=== t_easy//t_30.smp ===
SAT_UNSAT pretty_oc    1.56
SAT_UNSAT pretty       1.6
Binary    pretty_oc    2.45
Binary    pretty       2.49
UNSAT_SAT pretty_oc    2.7800000000000002
UNSAT_SAT pretty       2.81
SAT_UNSAT fast         3.15
Binary    fast         4.14
UNSAT_SAT fast         4.46
=== t_easy//t_31.smp ===
SAT_UNSAT pretty       1.45
SAT_UNSAT pretty_oc    1.49
Binary    pretty_oc    2.45
Binary    pretty       2.46
UNSAT_SAT pretty       3.1399999999999997
UNSAT_SAT pretty_oc    3.26
SAT_UNSAT fast         155.95
UNSAT_SAT fast         157.69
Binary    fast         158.93
=== t_easy//t_32.smp ===
SAT_UNSAT pretty       0.72
SAT_UNSAT pretty_oc    0.77
Binary    pretty       1.48
Binary    pretty_oc    1.52
UNSAT_SAT pretty       1.8
UNSAT_SAT pretty_oc    1.85
SAT_UNSAT fast         2.57
Binary    fast         3.34
UNSAT_SAT fast         3.6999999999999997
=== t_easy//t_33.smp ===
SAT_UNSAT pretty_oc    0.54
SAT_UNSAT pretty       0.55
SAT_UNSAT fast         0.64
Binary    pretty_oc    1.09
Binary    pretty       1.1
Binary    fast         1.1800000000000002
UNSAT_SAT pretty       1.2
UNSAT_SAT pretty_oc    1.2
UNSAT_SAT fast         1.27
=== t_easy//t_34.smp ===
UNSAT_SAT pretty_oc    3.23
SAT_UNSAT pretty_oc    3.26
UNSAT_SAT pretty       3.36
Binary    pretty_oc    3.56
SAT_UNSAT pretty       3.66
Binary    pretty       3.96
SAT_UNSAT fast         4.27
UNSAT_SAT fast         4.52
Binary    fast         4.79
=== t_easy//t_35.smp ===
SAT_UNSAT pretty       1.05
SAT_UNSAT pretty_oc    1.05
Binary    pretty       1.86
Binary    pretty_oc    1.86
UNSAT_SAT pretty       2.2
UNSAT_SAT pretty_oc    2.2
SAT_UNSAT fast         2.54
Binary    fast         3.44
UNSAT_SAT fast         3.76
=== t_easy//t_36.smp ===
SAT_UNSAT pretty_oc    1.6400000000000001
SAT_UNSAT pretty       1.77
Binary    pretty_oc    1.96
Binary    pretty       2.1
UNSAT_SAT pretty_oc    2.76
UNSAT_SAT pretty       2.87
SAT_UNSAT fast         3.76
Binary    fast         4.06
UNSAT_SAT fast         4.88
=== t_easy//t_37.smp ===
SAT_UNSAT pretty       0.82
SAT_UNSAT pretty_oc    0.83
